task,epoch,loss,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9
90,0,3.982385367155075,-1.2377195358276367,-1.86146080493927,0.3675520122051239,0.6791740655899048,-0.3753880560398102,-0.401482492685318,-0.9042847752571106,-0.9379226565361023,-0.7136337757110596,1.2792000770568848,-1.2667319774627686,0.46199899911880493,1.1557937860488892,0.12145295739173889,-0.3927198052406311,-0.520091712474823,-0.31603309512138367,-0.24247266352176666,-1.2410317659378052,-0.8214607238769531,-0.6731342077255249,0.19531524181365967,-0.2266770899295807,-2.240818738937378,-0.6248467564582825,-0.28916609287261963,-0.2197531759738922,-1.191117525100708,-0.7247496247291565,0.16303543746471405,1.008768916130066,-0.9432642459869385,-0.423849880695343,0.6369214057922363,-0.17920351028442383,0.2811058759689331,0.6095003485679626,-0.37853872776031494,1.6101939678192139,-0.1331140547990799
90,1,3.2365688383579254,-1.150044322013855,-1.8177160024642944,0.31726837158203125,0.6833719611167908,-0.32942941784858704,-0.39651575684547424,-0.8928117156028748,-0.8774368166923523,-0.6650315523147583,1.2247394323349,-1.2767677307128906,0.39695656299591064,1.1078290939331055,0.09297112375497818,-0.4484996199607849,-0.5368795990943909,-0.33551329374313354,-0.30571112036705017,-1.2688440084457397,-0.7645001411437988,-0.6428130865097046,0.25988247990608215,-0.279368132352829,-2.252089262008667,-0.5678630471229553,-0.2704853117465973,-0.19638383388519287,-1.1278517246246338,-0.6920402646064758,0.09953109174966812,1.0265878438949585,-0.876577615737915,-0.4779573082923889,0.5482903122901917,-0.11988401412963867,0.33717745542526245,0.656649112701416,-0.31712016463279724,1.550408959388733,-0.07429730147123337
90,2,2.8120391070842743,-1.0529046058654785,-1.7979185581207275,0.2812104821205139,0.6938319802284241,-0.3008330464363098,-0.3873254656791687,-0.8869161009788513,-0.8222419023513794,-0.6113634705543518,1.1752091646194458,-1.271539568901062,0.34599241614341736,1.0740851163864136,0.06398770958185196,-0.4920918941497803,-0.5491116046905518,-0.34310197830200195,-0.36618199944496155,-1.281237244606018,-0.7088442444801331,-0.6109235286712646,0.3066672682762146,-0.3229178488254547,-2.269339084625244,-0.5213530659675598,-0.25384601950645447,-0.1856110394001007,-1.0672345161437988,-0.6723604798316956,0.03397762402892113,1.0113356113433838,-0.8092958927154541,-0.5201202034950256,0.45927149057388306,-0.06652411818504333,0.3836260437965393,0.6882529258728027,-0.25933125615119934,1.4605302810668945,-0.015649212524294853
90,3,2.5700476467609406,-0.9583475589752197,-1.7900364398956299,0.2556992769241333,0.7114271521568298,-0.2841811180114746,-0.3771488070487976,-0.8806151747703552,-0.7708505392074585,-0.5537089705467224,1.1382167339324951,-1.256212592124939,0.3176001310348511,1.049473762512207,0.03499597683548927,-0.5253479480743408,-0.5594778060913086,-0.3468257784843445,-0.42626526951789856,-1.2884469032287598,-0.6615834832191467,-0.5774995684623718,0.32894784212112427,-0.36213821172714233,-2.293438196182251,-0.4838464558124542,-0.23728692531585693,-0.17903783917427063,-1.006967544555664,-0.6568049192428589,-0.027657171711325645,0.9715202450752258,-0.7437368035316467,-0.553806722164154,0.3735220432281494,-0.013596422038972378,0.4205891788005829,0.7070732116699219,-0.20192979276180267,1.3751957416534424,0.0351766012609005
90,4,2.401986390352249,-0.8721151351928711,-1.7854700088500977,0.23759779334068298,0.7235203385353088,-0.2764418125152588,-0.35993045568466187,-0.8731043934822083,-0.7258204817771912,-0.49564293026924133,1.109725832939148,-1.2374814748764038,0.2982916533946991,1.0302455425262451,0.005092438776046038,-0.5442028641700745,-0.5686468482017517,-0.3492395281791687,-0.48287999629974365,-1.2912166118621826,-0.6159499287605286,-0.5433323979377747,0.34250199794769287,-0.3994691073894501,-2.3089208602905273,-0.4610973596572876,-0.21656112372875214,-0.1736348271369934,-0.9495248198509216,-0.6456095576286316,-0.08991948515176773,0.9241528511047363,-0.6784194111824036,-0.5821506381034851,0.29152965545654297,0.03199391067028046,0.4501771032810211,0.7167917490005493,-0.14832592010498047,1.2992403507232666,0.08500780910253525
90,5,2.271373361349106,-0.794664740562439,-1.7832481861114502,0.22601275146007538,0.7407597303390503,-0.27161017060279846,-0.3465840220451355,-0.8641614317893982,-0.6870222687721252,-0.4369511306285858,1.0930075645446777,-1.2196372747421265,0.2846373915672302,1.014803409576416,-0.019926022738218307,-0.5564348101615906,-0.5772369503974915,-0.3504209518432617,-0.5373604893684387,-1.291925311088562,-0.5739651918411255,-0.5088036060333252,0.3517437279224396,-0.4363029897212982,-2.3283066749572754,-0.44544848799705505,-0.19777917861938477,-0.16937752068042755,-0.8938909769058228,-0.6366319060325623,-0.15179382264614105,0.8793653845787048,-0.613788366317749,-0.6062358021736145,0.21402347087860107,0.07347990572452545,0.4785495102405548,0.7115347385406494,-0.09650537371635437,1.225571632385254,0.13125236332416534
90,6,2.1650034189224243,-0.7212581038475037,-1.7818647623062134,0.21765545010566711,0.7594310641288757,-0.26776039600372314,-0.3325392007827759,-0.8540599942207336,-0.6550083756446838,-0.3787955045700073,1.088679313659668,-1.200459599494934,0.27295446395874023,1.0007938146591187,-0.04281244054436684,-0.565527617931366,-0.5831131935119629,-0.35093244910240173,-0.5886915326118469,-1.291356086730957,-0.533170759677887,-0.47552114725112915,0.35937556624412537,-0.47210314869880676,-2.3479435443878174,-0.43317559361457825,-0.18045450747013092,-0.1656566560268402,-0.8406187295913696,-0.6294874548912048,-0.21513640880584717,0.8309228420257568,-0.5479611158370972,-0.6289719939231873,0.1394250988960266,0.1167001724243164,0.49810126423835754,0.7032086849212646,-0.046705592423677444,1.1567583084106445,0.17614421248435974
90,7,2.08169461786747,-0.6551389694213867,-1.78123939037323,0.21377311646938324,0.7789965867996216,-0.2647625803947449,-0.3121771216392517,-0.8429403305053711,-0.6311774849891663,-0.3225484788417816,1.1007800102233887,-1.1843514442443848,0.2638883590698242,0.9882915616035461,-0.06451281160116196,-0.5719010829925537,-0.5888976454734802,-0.35116806626319885,-0.6336222887039185,-1.2906395196914673,-0.4881291091442108,-0.44271788001060486,0.3651857078075409,-0.5088106393814087,-2.367440938949585,-0.42414677143096924,-0.15703508257865906,-0.16198322176933289,-0.792867124080658,-0.6233434081077576,-0.28628990054130554,0.7896351218223572,-0.4818044602870941,-0.6497320532798767,0.06845482438802719,0.15285784006118774,0.5142296552658081,0.6907945871353149,-0.003298667725175619,1.096973180770874,0.2147807776927948
90,8,1.8150837272405624,-0.5978652238845825,-1.7814048528671265,0.21294039487838745,0.7974005341529846,-0.2620852589607239,-0.29924970865249634,-0.8315542936325073,-0.6128712296485901,-0.26933205127716064,1.2956668138504028,-1.1726247072219849,0.25670626759529114,0.9767417907714844,-0.08371102064847946,-0.5772705674171448,-0.5928830504417419,-0.3513447940349579,-0.673346757888794,-1.2899359464645386,-0.25656241178512573,-0.41093993186950684,0.3699132800102234,-0.5448111891746521,-2.384840965270996,-0.4162745475769043,-0.14033596217632294,-0.15827195346355438,-0.7489136457443237,-0.6182346940040588,-0.5107954144477844,0.7585634589195251,-0.4168572425842285,-0.6691187024116516,0.002171661937609315,0.19052858650684357,0.527697741985321,0.6828475594520569,0.041268058121204376,1.0441042184829712,0.22611196339130402
90,9,1.7536337971687317,-0.5498424172401428,-1.781604290008545,0.21604758501052856,0.815710186958313,-0.25984665751457214,-0.28658339381217957,-0.8208572268486023,-0.5993874669075012,-0.22258692979812622,1.3842350244522095,-1.164864182472229,0.24991095066070557,0.9667126536369324,-0.09979460388422012,-0.5812160968780518,-0.599888265132904,-0.3516075313091278,-0.706464409828186,-1.2896291017532349,-0.2156284600496292,-0.3814619481563568,0.3742430806159973,-0.580181360244751,-2.4018990993499756,-0.41025683283805847,-0.11783284693956375,-0.15459240972995758,-0.7104348540306091,-0.614087700843811,-0.5531330108642578,0.7370986938476562,-0.3522067368030548,-0.6858348250389099,-0.05685777962207794,0.2311849594116211,0.5489968657493591,0.6810567378997803,0.08959930390119553,1.0057168006896973,0.17656593024730682
