task,epoch,loss,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9
60,0,4.237605780363083,-1.281158208847046,-1.8613041639328003,0.3666520416736603,0.6092866063117981,-0.37548089027404785,-0.45845848321914673,-0.9009603261947632,-0.9393062591552734,-0.7128784656524658,1.2790955305099487,-1.2802867889404297,0.46195945143699646,1.1552237272262573,0.09229394793510437,-0.39312005043029785,-0.5200902223587036,-0.3221859633922577,-0.2425142079591751,-1.225334882736206,-0.8212888240814209,-0.653723418712616,0.19543051719665527,-0.22232477366924286,-2.1622049808502197,-0.624986469745636,-0.29235053062438965,-0.21438142657279968,-1.1924043893814087,-0.7388679385185242,0.163241907954216,1.011003851890564,-0.943263828754425,-0.4244373142719269,0.6459764838218689,-0.17885132133960724,0.28151044249534607,0.6101541519165039,-0.3784724175930023,1.6177078485488892,-0.13294033706188202
60,1,3.4382866621017456,-1.2064281702041626,-1.816932201385498,0.31405651569366455,0.5586687922477722,-0.3263285756111145,-0.5040585994720459,-0.8911927938461304,-0.878463864326477,-0.6363036632537842,1.2241524457931519,-1.303342342376709,0.39659515023231506,1.1062477827072144,0.03531834855675697,-0.45042794942855835,-0.5535393953323364,-0.34294602274894714,-0.30593353509902954,-1.2393137216567993,-0.7637757062911987,-0.5905783176422119,0.26064643263816833,-0.27134793996810913,-2.1121292114257812,-0.566750705242157,-0.2615711987018585,-0.19030091166496277,-1.1292210817337036,-0.7144392132759094,0.09970886260271072,1.035926103591919,-0.8765720129013062,-0.4797784090042114,0.5685173869132996,-0.11873617023229599,0.33874502778053284,0.6594996452331543,-0.31687021255493164,1.5721789598464966,-0.07355337589979172
60,2,2.9587881565093994,-1.1112346649169922,-1.7977697849273682,0.27470916509628296,0.5163196325302124,-0.2921387553215027,-0.5376427173614502,-0.8862770199775696,-0.8219153881072998,-0.5518999695777893,1.1740628480911255,-1.297749638557434,0.3439924120903015,1.0716614723205566,-0.013452054001390934,-0.49663659930229187,-0.5856964588165283,-0.3489113450050354,-0.3667336404323578,-1.2444192171096802,-0.7075209617614746,-0.5266155004501343,0.31033578515052795,-0.31214287877082825,-2.069500207901001,-0.5176829099655151,-0.22461652755737305,-0.1816980242729187,-1.0682592391967773,-0.6944532990455627,0.034291449934244156,1.0294312238693237,-0.8093394637107849,-0.5233425498008728,0.4906805157661438,-0.06440401822328568,0.38666072487831116,0.6944359540939331,-0.25884273648262024,1.4873571395874023,-0.014269164763391018
60,3,2.6904635429382324,-1.0166490077972412,-1.7911735773086548,0.24610893428325653,0.4756574332714081,-0.27010101079940796,-0.557259202003479,-0.8806077241897583,-0.7687473893165588,-0.470093697309494,1.136354923248291,-1.2697505950927734,0.31799089908599854,1.0470112562179565,-0.057594966143369675,-0.5326660871505737,-0.6141182780265808,-0.35137391090393066,-0.42698991298675537,-1.2402766942977905,-0.6596124768257141,-0.46549174189567566,0.3312259018421173,-0.35319429636001587,-2.02799391746521,-0.4773092269897461,-0.18126551806926727,-0.1767955720424652,-1.0079216957092285,-0.6819195747375488,-0.02730174921452999,0.9959138631820679,-0.7438225746154785,-0.5577554106712341,0.4134559631347656,-0.010641353204846382,0.4250934422016144,0.7169854044914246,-0.20123690366744995,1.4031727313995361,0.03727104887366295
60,4,2.5034103393554688,-0.9315990209579468,-1.7873111963272095,0.22473040223121643,0.4418720602989197,-0.256404310464859,-0.5712800025939941,-0.8737283945083618,-0.7217007875442505,-0.3921752870082855,1.1070270538330078,-1.234405279159546,0.3028718829154968,1.028216004371643,-0.0950729101896286,-0.5567240715026855,-0.6383596062660217,-0.3532221019268036,-0.48391300439834595,-1.2372115850448608,-0.6134286522865295,-0.40662920475006104,0.3418588638305664,-0.39413538575172424,-1.9930912256240845,-0.44813603162765503,-0.13280072808265686,-0.17214474081993103,-0.9507362246513367,-0.668699324131012,-0.0893339291214943,0.9518852233886719,-0.6784680485725403,-0.5864337086677551,0.33926478028297424,0.03581088036298752,0.45590370893478394,0.7303019762039185,-0.14729143679141998,1.3277145624160767,0.08773952722549438
60,5,2.3572349548339844,-0.8573424220085144,-1.7844892740249634,0.2102762758731842,0.41420507431030273,-0.24743489921092987,-0.5960767865180969,-0.8655229806900024,-0.6793714165687561,-0.31743934750556946,1.0891751050949097,-1.2006640434265137,0.29101628065109253,1.0137461423873901,-0.12638822197914124,-0.5725783705711365,-0.6623682379722595,-0.3541323244571686,-0.5386129021644592,-1.2316981554031372,-0.5710253715515137,-0.34965845942497253,0.3496885597705841,-0.43746697902679443,-1.9641144275665283,-0.42749151587486267,-0.07782767713069916,-0.16818580031394958,-0.894972562789917,-0.6592026948928833,-0.1505749523639679,0.9080357551574707,-0.6137211322784424,-0.61018306016922,0.2687869071960449,0.07798470556735992,0.4848165214061737,0.7282490134239197,-0.09505369514226913,1.2535616159439087,0.13450966775417328
60,6,2.2374067902565002,-0.7885189652442932,-1.78201162815094,0.1988077163696289,0.38971200585365295,-0.24055147171020508,-0.6190731525421143,-0.8564988970756531,-0.6428678035736084,-0.24570243060588837,1.0834866762161255,-1.164799451828003,0.2801970839500427,1.0010114908218384,-0.15415038168430328,-0.5845960974693298,-0.6796611547470093,-0.3547433614730835,-0.5908631086349487,-1.2273316383361816,-0.52984219789505,-0.29594793915748596,0.3564468026161194,-0.4785453975200653,-1.9381821155548096,-0.4109135866165161,-0.019606545567512512,-0.164275661110878,-0.8411664962768555,-0.6506060361862183,-0.21381573379039764,0.8597176671028137,-0.5477046966552734,-0.632309079170227,0.20025202631950378,0.12180118262767792,0.5046593546867371,0.722510814666748,-0.04466477036476135,1.1843515634536743,0.1799304187297821
60,7,2.1431926637887955,-0.7299948930740356,-1.7803674936294556,0.19205433130264282,0.3706040382385254,-0.23484109342098236,-0.6523869037628174,-0.8464242219924927,-0.6137226819992065,-0.17835550010204315,1.0940138101577759,-1.1346195936203003,0.2705632746219635,0.9901473522186279,-0.1766076385974884,-0.5929206609725952,-0.6940039992332458,-0.35487106442451477,-0.6374581456184387,-1.2236803770065308,-0.48158612847328186,-0.24406346678733826,0.36241868138313293,-0.5218225717544556,-1.9175509214401245,-0.39852339029312134,0.04341713339090347,-0.1606004238128662,-0.7920969724655151,-0.6441088914871216,-0.287762850522995,0.8175956606864929,-0.48133084177970886,-0.6519593000411987,0.13503777980804443,0.15854710340499878,0.5203236937522888,0.7117254137992859,-0.0005030690226703882,1.1241838932037354,0.2190583497285843
60,8,1.9232416450977325,-0.6835840344429016,-1.7791762351989746,0.192769393324852,0.35510292649269104,-0.22958742082118988,-0.6967284679412842,-0.8367629647254944,-0.5901656150817871,-0.11486025899648666,1.2470247745513916,-1.1120270490646362,0.2608805000782013,0.9816157817840576,-0.1970263123512268,-0.60008704662323,-0.7059667706489563,-0.35495588183403015,-0.6810916066169739,-1.2210819721221924,-0.28446656465530396,-0.194612517952919,0.36835142970085144,-0.5710003972053528,-1.9000225067138672,-0.38734617829322815,0.10937853157520294,-0.1570810228586197,-0.7451958656311035,-0.6394429206848145,-0.4807659685611725,0.7848995923995972,-0.4161755442619324,-0.6677708625793457,0.07325288653373718,0.19652768969535828,0.5325212478637695,0.7041325569152832,0.044862572103738785,1.0707433223724365,0.22611668705940247
60,9,1.8543401807546616,-0.6479801535606384,-1.7785488367080688,0.2032669335603714,0.3438315987586975,-0.22518715262413025,-0.7646625638008118,-0.8254079222679138,-0.5713216662406921,-0.057637184858322144,1.2486896514892578,-1.0951656103134155,0.25231873989105225,0.9750385284423828,-0.21469323337078094,-0.605680525302887,-0.7247042655944824,-0.35525038838386536,-0.7204285264015198,-1.2199748754501343,-0.28174710273742676,-0.14906366169452667,0.37354764342308044,-0.631919264793396,-1.8861867189407349,-0.3782350420951843,0.18081198632717133,-0.15258421003818512,-0.701163113117218,-0.636337161064148,-0.48324573040008545,0.7596975564956665,-0.35146206617355347,-0.6795566082000732,0.017174258828163147,0.23652000725269318,0.5504056215286255,0.7001916170120239,0.0934629738330841,1.030691146850586,0.17819105088710785
60,10,1.8005977869033813,-0.6213225722312927,-1.7784497737884521,0.21114008128643036,0.3381534516811371,-0.2210095077753067,-0.844336211681366,-0.8157084584236145,-0.5579862594604492,-0.0018005589954555035,1.2510086297988892,-1.0835084915161133,0.24402858316898346,0.9657994508743286,-0.2288377434015274,-0.6098989844322205,-0.7445390820503235,-0.35534968972206116,-0.7512382864952087,-1.2195066213607788,-0.2765217125415802,-0.10345825552940369,0.3786066472530365,-0.6895723938941956,-1.8772975206375122,-0.37084609270095825,0.25884631276130676,-0.14889809489250183,-0.6648860573768616,-0.6350964307785034,-0.48653680086135864,0.7418431043624878,-0.28496330976486206,-0.6953403353691101,-0.03628616780042648,0.2728625535964966,0.5677664279937744,0.7003010511398315,0.13786092400550842,0.9931042194366455,0.13092683255672455
60,11,1.756591945886612,-0.6016606688499451,-1.7788435220718384,0.21761544048786163,0.33571624755859375,-0.2175114005804062,-0.9276430010795593,-0.8046349287033081,-0.548535943031311,0.05155764892697334,1.2564592361450195,-1.0744186639785767,0.23683422803878784,0.9545426368713379,-0.24243171513080597,-0.6134846806526184,-0.7602554559707642,-0.35540273785591125,-0.7765275239944458,-1.2196464538574219,-0.27005016803741455,-0.05790554732084274,0.3830500543117523,-0.7445243000984192,-1.8706685304641724,-0.3644653260707855,0.34129300713539124,-0.14470744132995605,-0.6340147852897644,-0.6357795596122742,-0.49165815114974976,0.7277662754058838,-0.22247426211833954,-0.7138417959213257,-0.08813801407814026,0.3121746778488159,0.5803884863853455,0.69920414686203,0.17973439395427704,0.9646213054656982,0.08400533348321915
60,12,1.7191231399774551,-0.5887830853462219,-1.7796155214309692,0.22143243253231049,0.33507052063941956,-0.2128479927778244,-1.0186741352081299,-0.7917200326919556,-0.5410666465759277,0.10509106516838074,1.2687870264053345,-1.067148208618164,0.23031485080718994,0.941044807434082,-0.2551650106906891,-0.6163292527198792,-0.777739942073822,-0.35552576184272766,-0.7981262803077698,-1.220189094543457,-0.2558923065662384,-0.012242766097187996,0.3871353566646576,-0.7949751615524292,-1.8653843402862549,-0.35855937004089355,0.42967939376831055,-0.13960780203342438,-0.6064292788505554,-0.6386347413063049,-0.5034542083740234,0.7164909839630127,-0.15789616107940674,-0.7353290319442749,-0.13853192329406738,0.34381094574928284,0.593622624874115,0.6987754106521606,0.22134648263454437,0.9360921382904053,0.04131583124399185
60,13,1.6871602237224579,-0.5843010544776917,-1.7808482646942139,0.22583308815956116,0.3382883369922638,-0.20907406508922577,-1.108614206314087,-0.7803581953048706,-0.5357341766357422,0.15745963156223297,1.2709258794784546,-1.0626553297042847,0.225078746676445,0.9269513487815857,-0.2663775086402893,-0.6188653111457825,-0.7885711193084717,-0.355564683675766,-0.814113199710846,-1.220890998840332,-0.25131189823150635,0.034684568643569946,0.39061322808265686,-0.8434686660766602,-1.8632675409317017,-0.35338306427001953,0.5202934741973877,-0.13512931764125824,-0.5849815607070923,-0.6439080834388733,-0.5064834952354431,0.7096870541572571,-0.09347139298915863,-0.7573536038398743,-0.18756668269634247,0.3754342794418335,0.601353645324707,0.6975060701370239,0.25834959745407104,0.9140360355377197,-0.005238686688244343
