task,epoch,loss,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9
90,0,6.971104443073273,-1.2432316541671753,-1.861220121383667,0.39845624566078186,0.5947713255882263,-0.37369662523269653,-0.4160834550857544,-0.9178776144981384,-0.937975287437439,-0.779994785785675,1.2780338525772095,-1.2754117250442505,0.4620087146759033,1.1724600791931152,0.08229654282331467,-0.39347878098487854,-0.5106386542320251,-0.3060339391231537,-0.24250377714633942,-1.2363731861114502,-0.8198054432868958,-0.667755663394928,0.19507992267608643,-0.2147359699010849,-2.1470296382904053,-0.6237704157829285,-0.2971055209636688,-0.2305651754140854,-1.1913236379623413,-0.7567757964134216,0.1637454330921173,1.0215457677841187,-0.943263053894043,-0.4059463143348694,0.6447408199310303,-0.1767764836549759,0.2842910885810852,0.6151283979415894,-0.3768831491470337,1.6477874517440796,-0.13144227862358093
90,1,5.573174297809601,-1.2530901432037354,-1.8161360025405884,0.34480777382850647,0.5300571322441101,-0.32512760162353516,-0.4116392433643341,-0.9127004742622375,-0.8769991397857666,-0.7823464870452881,1.2191981077194214,-1.2978395223617554,0.3969343900680542,1.1115065813064575,0.019354214891791344,-0.4516879618167877,-0.5287411212921143,-0.3172015845775604,-0.3057948052883148,-1.2854900360107422,-0.7573947906494141,-0.645245373249054,0.2597526013851166,-0.2539291977882385,-2.0834102630615234,-0.5649926662445068,-0.27717849612236023,-0.21745482087135315,-1.1283000707626343,-0.7337241768836975,0.10125671327114105,1.0837570428848267,-0.8765379190444946,-0.4708630442619324,0.5769952535629272,-0.11160161346197128,0.3502885401248932,0.6797289252281189,-0.3108995854854584,1.7086957693099976,-0.06701820343732834
90,2,4.542730808258057,-1.2662241458892822,-1.7939907312393188,0.29555273056030273,0.4709528684616089,-0.29289641976356506,-0.4096609652042389,-0.911879301071167,-0.8206493854522705,-0.7815274596214294,1.1633837223052979,-1.3133403062820435,0.34288546442985535,1.0576462745666504,-0.036578476428985596,-0.4995211660861969,-0.5450966358184814,-0.32344669103622437,-0.366094172000885,-1.3236011266708374,-0.6946312785148621,-0.629417359828949,0.30992361903190613,-0.2868649959564209,-2.0264859199523926,-0.514922559261322,-0.2601557672023773,-0.20991294085979462,-1.0680553913116455,-0.7127624750137329,0.03763551637530327,1.1403441429138184,-0.809033989906311,-0.5327969193458557,0.5126354098320007,-0.049164678901433945,0.4125142991542816,0.7398976683616638,-0.24602104723453522,1.753409743309021,-0.0008357161423191428
90,3,3.850683033466339,-1.2597252130508423,-1.7857352495193481,0.26079243421554565,0.4181160032749176,-0.2739485502243042,-0.4079405665397644,-0.9073079228401184,-0.7665680050849915,-0.7764241695404053,1.1178902387619019,-1.3248876333236694,0.3117481768131256,1.0173245668411255,-0.0845794826745987,-0.5364574790000916,-0.5608816146850586,-0.32830771803855896,-0.42550337314605713,-1.344386100769043,-0.6387397646903992,-0.6161694526672363,0.33514052629470825,-0.3200293779373169,-1.977012038230896,-0.4741704761981964,-0.24362951517105103,-0.2028796672821045,-1.0079660415649414,-0.697697639465332,-0.020276645198464394,1.184000849723816,-0.7432861924171448,-0.5832662582397461,0.4531410038471222,0.013604152016341686,0.46945032477378845,0.7943523526191711,-0.1809844970703125,1.7761733531951904,0.059445880353450775
90,4,3.3756058514118195,-1.2236440181732178,-1.7825055122375488,0.23124775290489197,0.37271422147750854,-0.26504725217819214,-0.4103323817253113,-0.9060265421867371,-0.7182716131210327,-0.7585740089416504,1.0791434049606323,-1.3332583904266357,0.2922857999801636,0.9822168350219727,-0.12372588366270065,-0.5589237213134766,-0.5765464305877686,-0.3317706882953644,-0.4819220006465912,-1.346935749053955,-0.5849105715751648,-0.6040551662445068,0.34974533319473267,-0.3501463234424591,-1.9360398054122925,-0.44773367047309875,-0.22880332171916962,-0.19810837507247925,-0.9510595798492432,-0.6808828115463257,-0.07737049460411072,1.213648796081543,-0.6781023740768433,-0.6304903626441956,0.4005005657672882,0.0702499970793724,0.5209556818008423,0.8425419926643372,-0.1196906566619873,1.7713024616241455,0.11862331628799438
90,5,3.042277008295059,-1.161211609840393,-1.781490683555603,0.21646682918071747,0.334357887506485,-0.2603442370891571,-0.4080860912799835,-0.8997898101806641,-0.6752831935882568,-0.7375874519348145,1.0492901802062988,-1.3387279510498047,0.2801680862903595,0.9571649432182312,-0.15506291389465332,-0.5739938616752625,-0.5930019617080688,-0.3347960114479065,-0.5375447273254395,-1.3240212202072144,-0.5352078676223755,-0.5928341746330261,0.35858267545700073,-0.38305434584617615,-1.9029146432876587,-0.4291287660598755,-0.20988653600215912,-0.19242741167545319,-0.8957089185714722,-0.6731210350990295,-0.13158155977725983,1.2296242713928223,-0.6140553951263428,-0.6663106083869934,0.3546220064163208,0.12285825610160828,0.5700658559799194,0.8787082433700562,-0.06101213023066521,1.7324941158294678,0.17410172522068024
90,6,2.7969361543655396,-1.0777446031570435,-1.7814897298812866,0.20280475914478302,0.3019060790538788,-0.2575274705886841,-0.40811893343925476,-0.8939952254295349,-0.6376343369483948,-0.7104374170303345,1.0275150537490845,-1.3412213325500488,0.27215656638145447,0.9329808950424194,-0.18033485114574432,-0.5848135948181152,-0.6076979041099548,-0.33745625615119934,-0.5923653244972229,-1.2870599031448364,-0.48739445209503174,-0.5826451778411865,0.3644648492336273,-0.4123629033565521,-1.876189947128296,-0.41523948311805725,-0.19324101507663727,-0.1871289610862732,-0.841252863407135,-0.6655809879302979,-0.18555082380771637,1.2277076244354248,-0.5493474006652832,-0.7021682262420654,0.31431642174720764,0.17626112699508667,0.6118642687797546,0.9090889692306519,-0.004489628132432699,1.6733499765396118,0.22795119881629944
90,7,2.6157787144184113,-0.9881354570388794,-1.7824658155441284,0.19486290216445923,0.2747701108455658,-0.25601109862327576,-0.4077514708042145,-0.8870759010314941,-0.6074932217597961,-0.6843908429145813,1.0159332752227783,-1.3419923782348633,0.2674013078212738,0.91044682264328,-0.20060235261917114,-0.5914291143417358,-0.6215857267379761,-0.3394993841648102,-0.6428655982017517,-1.2457996606826782,-0.4419490694999695,-0.5731506943702698,0.3683616518974304,-0.4441470205783844,-1.8549046516418457,-0.40646085143089294,-0.17633973062038422,-0.18214081227779388,-0.7905856370925903,-0.6607548594474792,-0.23995086550712585,1.2161768674850464,-0.4847305417060852,-0.7359975576400757,0.27915990352630615,0.2235572338104248,0.6495046019554138,0.9316241145133972,0.046690478920936584,1.610103726387024,0.276208758354187
90,8,2.368763506412506,-0.8983970284461975,-1.7839150428771973,0.1930864304304123,0.25213441252708435,-0.2549368739128113,-0.4073130786418915,-0.8791629076004028,-0.5832509398460388,-0.6572367548942566,1.1387593746185303,-1.3412164449691772,0.26436081528663635,0.8911139369010925,-0.21710000932216644,-0.5971132516860962,-0.6338666677474976,-0.3412570357322693,-0.6914989948272705,-1.2035561800003052,-0.24611714482307434,-0.5648523569107056,0.37125164270401,-0.47590747475624084,-1.837930679321289,-0.39878666400909424,-0.16058824956417084,-0.17704831063747406,-0.7410723567008972,-0.6551308631896973,-0.4405325949192047,1.197439432144165,-0.42183053493499756,-0.7656266093254089,0.24816694855690002,0.27011609077453613,0.6812232136726379,0.9490589499473572,0.09774379432201385,1.5429855585098267,0.3139045536518097
90,9,2.267925202846527,-0.8195319771766663,-1.7859069108963013,0.19999362528324127,0.23522838950157166,-0.25410622358322144,-0.40821361541748047,-0.8709279298782349,-0.5650957822799683,-0.6333653926849365,1.2061336040496826,-1.3406105041503906,0.2629896402359009,0.8735073804855347,-0.2295488566160202,-0.6019166111946106,-0.6475300788879395,-0.343126505613327,-0.7360355257987976,-1.174432396888733,-0.27107319235801697,-0.5571543574333191,0.37325844168663025,-0.5134391188621521,-1.8256713151931763,-0.39217057824134827,-0.14356528222560883,-0.17147307097911835,-0.694370448589325,-0.6466660499572754,-0.45470669865608215,1.1805914640426636,-0.3591896593570709,-0.7915831208229065,0.22301426529884338,0.3177352845668793,0.7154808044433594,0.9655455350875854,0.15109632909297943,1.4916443824768066,0.29280638694763184
