task,epoch,loss,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9
80,0,5.969283163547516,-1.329645037651062,-1.8611871004104614,0.36870086193084717,0.5949366688728333,-0.3753131330013275,-0.4081457555294037,-0.8980467915534973,-0.9373390078544617,-0.7614229917526245,1.278080940246582,-1.276285171508789,0.4619942903518677,1.1569421291351318,0.08156728744506836,-0.39329949021339417,-0.5098544359207153,-0.3250025510787964,-0.24248006939888,-1.229144811630249,-0.8201082944869995,-0.6728836894035339,0.19556500017642975,-0.10014160722494125,-2.147242307662964,-0.6242406368255615,-0.29973098635673523,-0.21206045150756836,-1.1906832456588745,-0.7385519742965698,0.1632012575864792,1.0201573371887207,-0.9432635307312012,-0.4226061701774597,0.6440256834030151,-0.17717452347278595,0.28373000025749207,0.614375114440918,-0.3769056797027588,1.645131230354309,-0.13174650073051453
80,1,4.757330894470215,-1.3780665397644043,-1.8155786991119385,0.31709036231040955,0.529716968536377,-0.3324156403541565,-0.4056726396083832,-0.8822979927062988,-0.8763425946235657,-0.7514399886131287,1.2198673486709595,-1.3132655620574951,0.3965635895729065,1.108400821685791,0.017406033352017403,-0.450652152299881,-0.5297013521194458,-0.35812950134277344,-0.3055911064147949,-1.25230073928833,-0.758948564529419,-0.6423489451408386,0.2609444856643677,-0.062018539756536484,-2.0828890800476074,-0.5660664439201355,-0.2831646800041199,-0.17473003268241882,-1.1272997856140137,-0.7143911719322205,0.10078626126050949,1.0764821767807007,-0.876557469367981,-0.47714856266975403,0.575101912021637,-0.11341887712478638,0.34758564829826355,0.6757950186729431,-0.3110710680484772,1.6937496662139893,-0.06859748810529709
80,2,3.925812840461731,-1.4092063903808594,-1.794484257698059,0.27648019790649414,0.47124117612838745,-0.3116483986377716,-0.405467689037323,-0.8802860379219055,-0.8208122253417969,-0.7027489542961121,1.1649965047836304,-1.3462228775024414,0.33960965275764465,1.0726815462112427,-0.03809262812137604,-0.4923327565193176,-0.5500635504722595,-0.3687054216861725,-0.3654624819755554,-1.2613105773925781,-0.6982100009918213,-0.6107000112533569,0.31578436493873596,-0.04248836636543274,-2.0261268615722656,-0.5219427347183228,-0.26622337102890015,-0.1613842248916626,-1.0671056509017944,-0.7015232443809509,0.03865659236907959,1.1213520765304565,-0.8093092441558838,-0.5215495824813843,0.5113357901573181,-0.053532350808382034,0.40590620040893555,0.7298202514648438,-0.24663092195987701,1.7098804712295532,-0.004522042814642191
80,3,3.424508184194565,-1.406479001045227,-1.789421558380127,0.24693746864795685,0.41897428035736084,-0.3026818335056305,-0.4021034836769104,-0.8797155022621155,-0.768071174621582,-0.6175233721733093,1.1202397346496582,-1.3692851066589355,0.3130745589733124,1.0484658479690552,-0.08472202718257904,-0.517329752445221,-0.5697670578956604,-0.37282779812812805,-0.42403939366340637,-1.2634375095367432,-0.6448842883110046,-0.5800130367279053,0.338396281003952,-0.040428753942251205,-1.976700782775879,-0.493513286113739,-0.24773848056793213,-0.15579216182231903,-1.007259488105774,-0.6923080682754517,-0.017540037631988525,1.1477336883544922,-0.744421660900116,-0.5547536611557007,0.45357418060302734,0.0063834600150585175,0.4577724039554596,0.7763371467590332,-0.18245325982570648,1.691724419593811,0.053034208714962006
80,4,3.0844919681549072,-1.3697798252105713,-1.7878727912902832,0.22297875583171844,0.3736533522605896,-0.29892411828041077,-0.3992581069469452,-0.8790407180786133,-0.7228409051895142,-0.5207242965698242,1.0811734199523926,-1.3784234523773193,0.2990625202655792,1.0301135778427124,-0.12273947149515152,-0.5302148461341858,-0.588595449924469,-0.37547627091407776,-0.4791306257247925,-1.2619279623031616,-0.5935314297676086,-0.5551754236221313,0.3495168685913086,-0.04744650050997734,-1.9353734254837036,-0.4779827892780304,-0.23003661632537842,-0.15191397070884705,-0.9516639113426208,-0.6846498847007751,-0.07261164486408234,1.1568963527679443,-0.6804754734039307,-0.5822885632514954,0.4024154543876648,0.06008939445018768,0.5038914680480957,0.8160387873649597,-0.12265192717313766,1.648622989654541,0.10956855863332748
80,5,2.832854300737381,-1.3111516237258911,-1.7877709865570068,0.20718009769916534,0.3336062729358673,-0.29657718539237976,-0.3961970806121826,-0.8779049515724182,-0.6823554635047913,-0.42022085189819336,1.0530602931976318,-1.3785806894302368,0.2912571430206299,1.0184295177459717,-0.15381255745887756,-0.5391594171524048,-0.608112633228302,-0.37715810537338257,-0.533193051815033,-1.2565146684646606,-0.544451117515564,-0.5325213670730591,0.3557569682598114,-0.0644376203417778,-1.9005244970321655,-0.4667799770832062,-0.21059079468250275,-0.1490679681301117,-0.8968707919120789,-0.6800095438957214,-0.12791962921619415,1.1530137062072754,-0.6178159117698669,-0.6011740565299988,0.3567500710487366,0.11012258380651474,0.5483435392379761,0.84343022108078,-0.06634897738695145,1.584860920906067,0.16272146999835968
80,6,2.6404906809329987,-1.2317599058151245,-1.788466453552246,0.19196169078350067,0.2989364564418793,-0.2949543297290802,-0.3930323123931885,-0.8762785196304321,-0.6479215621948242,-0.3236165940761566,1.036071538925171,-1.3667675256729126,0.2854015827178955,1.0075254440307617,-0.17909103631973267,-0.5455184578895569,-0.6248980164527893,-0.37835967540740967,-0.5871390104293823,-1.251143455505371,-0.4967597723007202,-0.5148603320121765,0.3606908321380615,-0.08161699026823044,-1.871888518333435,-0.4585568308830261,-0.1927867978811264,-0.14662502706050873,-0.8426192402839661,-0.6757902503013611,-0.16851498186588287,1.1316180229187012,-0.5544567704200745,-0.6198258399963379,0.31599852442741394,0.16126273572444916,0.5852380990982056,0.8650745153427124,-0.013037020340561867,1.5139318704605103,0.21429775655269623
80,7,2.5010077357292175,-1.1503939628601074,-1.7897566556930542,0.18182015419006348,0.2703571915626526,-0.29373303055763245,-0.39151158928871155,-0.8741059899330139,-0.6218381524085999,-0.2339339256286621,1.0275254249572754,-1.3505020141601562,0.28226029872894287,0.9999250173568726,-0.19935718178749084,-0.5503626465797424,-0.6399922966957092,-0.37915557622909546,-0.6360485553741455,-1.2465227842330933,-0.45529913902282715,-0.4983900487422943,0.3637893795967102,-0.10500243306159973,-1.8494443893432617,-0.4521351456642151,-0.17661115527153015,-0.14447832107543945,-0.7928494811058044,-0.6724716424942017,-0.19882990419864655,1.1025947332382202,-0.49126720428466797,-0.6335403919219971,0.2801467776298523,0.20575019717216492,0.6173732876777649,0.8779324293136597,0.03433170169591904,1.4460428953170776,0.25971996784210205
80,8,2.3981088399887085,-1.0697284936904907,-1.7915723323822021,0.17334114015102386,0.2466122806072235,-0.2928043007850647,-0.38676485419273376,-0.8714016079902649,-0.6023087501525879,-0.1474912017583847,1.0256258249282837,-1.3323965072631836,0.2812381684780121,0.9932186603546143,-0.21602022647857666,-0.5540668964385986,-0.6528546810150146,-0.3798351585865021,-0.6803783774375916,-1.2430999279022217,-0.4151022136211395,-0.4818336069583893,0.3655639588832855,-0.1290571689605713,-1.8316130638122559,-0.44712769985198975,-0.15860581398010254,-0.14222665131092072,-0.7464912533760071,-0.6697500944137573,-0.22750450670719147,1.0683225393295288,-0.42981383204460144,-0.6461424231529236,0.24792100489139557,0.24905936419963837,0.6424670219421387,0.8847679495811462,0.0811510980129242,1.3773239850997925,0.3020472824573517
80,9,2.323605090379715,-0.98768150806427,-1.7939144372940063,0.16765975952148438,0.22665798664093018,-0.29167693853378296,-0.38233113288879395,-0.8680720329284668,-0.5874254703521729,-0.0668904110789299,1.0236432552337646,-1.3087021112442017,0.2815442681312561,0.9878110289573669,-0.23005311191082,-0.5575063824653625,-0.6642882823944092,-0.3800451457500458,-0.7184606790542603,-1.2408620119094849,-0.3723806142807007,-0.4702194035053253,0.36664101481437683,-0.1556004136800766,-1.8171931505203247,-0.44231095910072327,-0.14114582538604736,-0.14035660028457642,-0.704379677772522,-0.6682906746864319,-0.2519347667694092,1.02603018283844,-0.36911627650260925,-0.6566172242164612,0.21840594708919525,0.2896035611629486,0.6638680100440979,0.8816058039665222,0.12762896716594696,1.3128710985183716,0.3433895707130432
