number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
10,49.85,2025-01-20 00:46:58.775047,2025-01-20 00:48:36.493695,0 days 00:01:37.718648,1.0136706596182492,1.5985669901399673,0.36509178454635993,0.02171010139420616,54,23,Adam,0.0004890266953252528,1,,False,COMPLETE
11,52.18000000000001,2025-01-20 00:48:19.890543,2025-01-20 00:50:12.826119,0 days 00:01:52.935576,1.2386341345518548,0.6959953505217833,0.5537996273103752,0.02992411373999785,47,2,SGD,0.009494418852435044,1,9.55014516589428,True,COMPLETE
12,44.06,2025-01-20 00:48:36.573327,2025-01-20 00:50:22.926665,0 days 00:01:46.353338,0.20261173705153873,1.9500832663052636,0.543040443632807,0.03784047657023772,61,37,SGD,0.011874053913282959,0,8.14481747564879,True,COMPLETE
13,50.8,2025-01-20 00:50:12.881049,2025-01-20 00:53:02.821875,0 days 00:02:49.940826,1.3205065908117763,0.7932262528213352,0.6077623132866944,0.03603674058497354,46,1,SGD,0.012947830067868248,1,9.95135558026248,True,COMPLETE
14,49.66,2025-01-20 00:50:22.989047,2025-01-20 00:54:29.402192,0 days 00:04:06.413145,1.3855900160320336,0.7938088631783191,0.6850603008997114,0.030999506925964516,38,1,SGD,0.0030177603021009185,1,9.797352270855612,True,COMPLETE
15,49.96,2025-01-20 00:53:02.870517,2025-01-20 01:03:02.894528,0 days 00:10:00.024011,1.0257013947552045,0.8064976610612906,0.6631530681245814,0.0006085960018206333,37,1,SGD,0.002896425871807043,1,5.218405407132706,True,COMPLETE
16,51.629999999999995,2025-01-20 00:54:29.474495,2025-01-20 01:04:30.006398,0 days 00:10:00.531903,1.0118864098315572,0.9079966702016836,0.4523084054259574,0.000531557329889805,62,18,SGD,0.034239529097081535,1,5.293363143457528,True,COMPLETE
17,50.970000000000006,2025-01-20 01:03:02.938942,2025-01-20 01:05:23.555788,0 days 00:02:20.616846,1.60358685958189,0.370984519229103,0.4494153670728192,0.006727541986944971,4,2,SGD,0.9210034665718736,0,6.801554164231176,True,COMPLETE
18,47.449999999999996,2025-01-20 01:04:30.080159,2025-01-20 01:05:59.197706,0 days 00:01:29.117547,1.610379767744139,0.21186864492250967,0.42791064138010043,0.006722504705855488,60,24,SGD,0.04421767608149203,1,6.764268099125127,True,COMPLETE
19,49.76,2025-01-20 01:05:23.624865,2025-01-20 01:16:04.993544,0 days 00:10:41.368679,0.9208879740324615,0.9896970523461103,0.3500529589073166,0.006514313898707037,60,24,SGD,0.036355115002404,1,0.1422076448319025,True,COMPLETE
20,50.82,2025-01-20 01:05:59.276820,2025-01-20 01:21:03.905810,0 days 00:15:04.628990,1.154939246749877,0.998026888479423,0.3508820613264638,0.0005552397839130107,46,16,SGD,0.04609700019404939,1,0.5483027367153834,True,COMPLETE
21,52.12,2025-01-20 01:16:05.047965,2025-01-20 01:23:51.763707,0 days 00:07:46.715742,1.2230702465881542,0.5995956529928302,0.5121983939785199,0.001032499141942028,48,6,SGD,0.005079311040204895,1,8.031098563542223,True,COMPLETE
22,51.39,2025-01-20 01:21:03.990777,2025-01-20 01:22:53.448596,0 days 00:01:49.457819,0.9406195673582416,0.5978988016005861,0.5543688096738519,0.053515127489775785,75,17,SGD,0.006100306700271351,0,3.371432995521751,True,COMPLETE
23,52.43,2025-01-20 01:22:53.516016,2025-01-20 01:25:34.389662,0 days 00:02:40.873646,0.9105097417910147,0.5854495057379885,0.5319030019733543,0.011894267629347624,68,6,SGD,0.004590591105969278,1,3.467132197146144,True,COMPLETE
24,52.339999999999996,2025-01-20 01:23:51.830490,2025-01-20 01:34:20.260646,0 days 00:10:28.430156,1.1991051839613012,0.618740437198375,0.5097223899083779,0.001083024314726016,52,5,SGD,0.022662218473887757,1,8.497024692204288,True,COMPLETE
25,50.77,2025-01-20 01:25:34.467859,2025-01-20 01:27:31.610524,0 days 00:01:57.142665,1.2052683985955048,0.6383916414111367,0.6869026598269644,0.011114358746387306,53,6,SGD,0.005603383233405908,1,8.364833327192635,True,COMPLETE
26,51.73,2025-01-20 01:27:31.678284,2025-01-20 01:29:26.428170,0 days 00:01:54.749886,1.5171293326497532,0.5108929353170021,0.5155366462340059,0.0038702186899178953,31,5,SGD,0.000945862033827106,1,8.306032845462514,True,COMPLETE
27,51.080000000000005,2025-01-20 01:29:26.498196,2025-01-20 01:31:46.748754,0 days 00:02:20.250558,0.7968907350632897,0.6695694919739138,0.639739045202072,0.01743956453054927,42,6,SGD,0.004744655827565128,1,6.894985560241718,True,COMPLETE
28,49.94,2025-01-20 01:31:46.822510,2025-01-20 01:36:18.190011,0 days 00:04:31.367501,1.179307429307799,0.2014977315191751,0.7421975797004619,0.0012667973442880979,51,5,SGD,0.020411556479435683,1,9.179884226191179,True,COMPLETE
29,50.1,2025-01-20 01:34:20.320129,2025-01-20 01:38:07.361971,0 days 00:03:47.041842,1.4044191881437162,0.23298802088185983,0.7335364718269646,0.010244696200005014,68,4,SGD,0.02156903702941115,1,9.148411757109246,True,COMPLETE
30,51.44,2025-01-20 01:36:18.266825,2025-01-20 01:44:37.330446,0 days 00:08:19.063621,1.4304182115833182,1.1683289876338516,0.5726540883648736,0.02376164389081522,70,15,SGD,0.019479034560734843,1,4.272337789420418,True,COMPLETE
31,51.41,2025-01-20 01:38:07.418976,2025-01-20 01:39:41.814746,0 days 00:01:34.395770,0.8765543062404106,1.132307242076231,0.5812625622986491,0.004452563157792454,67,15,SGD,0.002376391420611874,1,4.0725746957924045,True,COMPLETE
32,51.93,2025-01-20 01:39:41.867069,2025-01-20 01:50:10.664106,0 days 00:10:28.797037,1.245459715686697,0.5010618004711842,0.5039362745955032,0.0009114570554361877,56,8,SGD,0.0069083914291655085,1,7.49182749389929,True,COMPLETE
33,51.88,2025-01-20 01:44:37.425893,2025-01-20 01:58:23.421859,0 days 00:13:45.995966,1.2126507916460698,0.3987284225017245,0.4895245090483888,0.002059138540246759,45,7,SGD,0.004442612542490759,1,8.181831268051065,True,COMPLETE
34,52.21,2025-01-20 01:50:10.713609,2025-01-20 01:56:14.280150,0 days 00:06:03.566541,1.0917993636947556,0.716370123439197,0.40458611151401996,0.002356142551049082,42,7,SGD,0.009207390357022869,1,6.089523559814522,True,COMPLETE
35,51.92,2025-01-20 01:56:14.340977,2025-01-20 01:59:21.221963,0 days 00:03:06.880986,1.0652374966234464,0.721952291477972,0.3828286635022724,0.0022024019246384675,42,8,SGD,0.009149942614938462,1,6.178883327304915,True,COMPLETE
36,52.22,2025-01-20 01:58:23.504040,2025-01-20 02:12:22.769260,0 days 00:13:59.265220,1.1053871821887982,0.7218898820867041,0.40176119351046913,0.0018328427036201885,34,3,SGD,0.009297745485345966,2,,False,COMPLETE
37,52.5,2025-01-20 01:59:21.289454,2025-01-20 02:09:22.188877,0 days 00:10:00.899423,0.8127768734998271,0.9263474691609257,0.4141772544465067,0.0013530477864362406,32,3,SGD,0.08211771918334611,2,,False,COMPLETE
