number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_n_clusters,params_n_neighbors,state
35,28.720000000000002,2025-01-21 16:20:01.849530,2025-01-21 16:20:51.901493,0 days 00:00:50.051963,0.03658752918480393,0.07847631646551549,1.870429304788229,88,1,COMPLETE
36,31.619999999999997,2025-01-21 16:20:51.996541,2025-01-21 16:21:26.197039,0 days 00:00:34.200498,2.266499360075625,0.13821757511236038,2.769523526578385,50,8,COMPLETE
37,41.91,2025-01-21 16:21:26.284906,2025-01-21 16:22:23.037564,0 days 00:00:56.752658,0.05468185795248973,0.04762455767043403,0.5990418357161095,100,15,COMPLETE
38,33.08,2025-01-21 16:22:23.096799,2025-01-21 16:23:14.805771,0 days 00:00:51.708972,0.37088078740057023,0.02772911303858402,0.08273905425590546,91,8,COMPLETE
39,15.32,2025-01-21 16:23:14.873302,2025-01-21 16:23:51.040872,0 days 00:00:36.167570,0.14259869023758642,0.09628999226651681,0.002610050963089789,59,4,COMPLETE
40,47.12,2025-01-21 16:23:51.121126,2025-01-21 16:24:30.255830,0 days 00:00:39.134704,1.4855169900708323,0.04480206760969698,0.17551237457358776,65,15,COMPLETE
41,47.199999999999996,2025-01-21 16:24:30.328795,2025-01-21 16:25:03.320037,0 days 00:00:32.991242,3.8073653133272085,0.024741855102599082,0.48620542685955664,53,11,COMPLETE
42,50.17,2025-01-21 16:25:03.387336,2025-01-21 16:25:52.058242,0 days 00:00:48.670906,0.7081744201676096,0.010715383014179678,0.3043252778315929,85,7,COMPLETE
43,43.65,2025-01-21 16:25:52.125676,2025-01-21 16:26:40.348864,0 days 00:00:48.223188,0.7794417962900104,0.013463114819402646,0.9236329531328731,85,1,COMPLETE
44,38.72,2025-01-21 16:26:40.431400,2025-01-21 16:27:34.501792,0 days 00:00:54.070392,0.027534174356269633,0.035440351600333896,0.37767635126477384,94,7,COMPLETE
45,38.379999999999995,2025-01-21 16:27:34.573919,2025-01-21 16:28:22.810862,0 days 00:00:48.236943,0.4093562553702156,0.011227054063721917,0.12036263439404347,84,10,COMPLETE
46,25.740000000000002,2025-01-21 16:28:22.875871,2025-01-21 16:29:16.832243,0 days 00:00:53.956372,1.709550223836256,0.13383994233974192,0.012395507556061523,96,5,COMPLETE
47,49.78,2025-01-21 16:29:16.908296,2025-01-21 16:29:45.768327,0 days 00:00:28.860031,1.0000662538069867,0.05629763231226965,0.27260026755865446,41,14,COMPLETE
48,31.2,2025-01-21 16:29:45.841267,2025-01-21 16:30:26.576986,0 days 00:00:40.735719,0.24890485224358,0.006240411822524138,1.7779266611123734,69,3,COMPLETE
49,32.690000000000005,2025-01-21 16:30:26.646182,2025-01-21 16:31:11.760324,0 days 00:00:45.114142,0.006702983681829565,0.02463105255714364,0.44371714183465927,77,21,COMPLETE
50,43.5,2025-01-21 16:31:11.829015,2025-01-21 16:32:04.256604,0 days 00:00:52.427589,0.5611497634905668,0.035444955224292904,0.15786431990214095,92,17,COMPLETE
51,47.81,2025-01-21 16:32:04.321546,2025-01-21 16:32:51.169727,0 days 00:00:46.848181,2.878591273700374,0.020600257498341695,0.7483597068595935,82,9,COMPLETE
52,49.41,2025-01-21 16:32:51.252397,2025-01-21 16:33:15.288981,0 days 00:00:24.036584,1.126674597031867,0.05570053494463439,0.2749690513182629,30,13,COMPLETE
53,47.870000000000005,2025-01-21 16:33:15.348222,2025-01-21 16:33:45.848508,0 days 00:00:30.500286,0.9082552810205797,0.061068675788169616,0.2089697547172934,46,16,COMPLETE
54,49.65,2025-01-21 16:33:45.913065,2025-01-21 16:34:13.714334,0 days 00:00:27.801269,0.5270974702642618,0.011683077238120603,0.3171588116414256,40,13,COMPLETE
55,50.370000000000005,2025-01-21 16:34:13.798107,2025-01-21 16:34:41.514938,0 days 00:00:27.716831,1.5937723261331105,0.13051536318464113,0.5839087456938291,40,6,COMPLETE
56,0.51,2025-01-21 16:34:41.596288,2025-01-21 16:35:14.717799,0 days 00:00:33.121511,0.0019254745889991207,0.4260164553657788,0.5428930163451394,50,6,COMPLETE
57,45.9,2025-01-21 16:35:14.795227,2025-01-21 16:35:35.113715,0 days 00:00:20.318488,5.7579643021717795,0.13604677979920765,0.776667564036408,22,10,COMPLETE
58,38.04,2025-01-21 16:35:35.185017,2025-01-21 16:36:26.109935,0 days 00:00:50.924918,1.6223821768851083,0.9789420038891482,1.4481422374283184,89,3,COMPLETE
59,30.11,2025-01-21 16:36:26.180728,2025-01-21 16:36:40.636449,0 days 00:00:14.455721,0.18396245965381383,0.006364123008629271,0.09792269476303138,5,2,COMPLETE
60,49.4,2025-01-21 16:36:40.706665,2025-01-21 16:36:58.363796,0 days 00:00:17.657131,0.2900430161515959,0.018191000930804415,0.3941020462785404,14,7,COMPLETE
61,35.64,2025-01-21 16:36:58.428908,2025-01-21 16:37:22.562862,0 days 00:00:24.133954,3.5781612910171936,0.18934868627192095,0.057479776533259155,31,5,COMPLETE
